,КМ,М,АМПЛИТУДА,HOPMA,КОДОТСТУП,ГОД,МЕСЯЦ,ДЕНЬ,СТЕПЕНЬ,ДЛИНА,ОТСТУПЛЕНИЕ
20900,636,617,9.0,0,2145,2020,1,25,1,5,Пр.П
95600,642,910,1528.0,1520,2081,2021,2,22,1,2,Уш
86439,554,25,1518.0,1520,2097,2021,1,30,1,3,Суж
15132,644,888,11.0,0,2145,2018,10,21,2,3,Пр.П
100855,628,793,7.0,0,2129,2021,2,20,1,7,П
60929,639,582,11.0,0,2129,2020,9,1,2,15,П
91557,11,945,24.0,0,2065,2021,1,25,2,20,Рст
62527,650,5,1532.0,1520,2081,2020,10,14,2,5,Уш
45907,11,577,12.0,0,2161,2020,6,12,1,6,Пр.Л
86611,569,131,8.0,0,2129,2021,1,30,1,18,П
49425,640,549,10.0,0,2145,2020,7,15,1,4,Пр.П
10825,229,84,7.0,0,2113,2018,8,14,2,2,У
46035,17,659,10.0,0,2161,2020,6,12,1,4,Пр.Л
65607,408,510,9.0,0,2129,2019,1,20,2,20,П
56283,632,671,10.0,0,2145,2020,8,31,1,3,Пр.П
270,320,692,13.0,0,2161,2018,1,24,2,6,Пр.Л
76558,368,795,8.0,0,2113,2019,9,13,2,15,У
31380,649,980,8.0,0,2145,2020,3,26,1,4,Пр.П
43081,557,251,8.0,0,2161,2020,6,26,1,3,Пр.Л
32618,549,186,10.0,0,2161,2020,4,11,1,3,Пр.Л
26344,4,121,1534.0,1520,2081,2020,3,24,2,2,Уш
47996,646,875,8.0,0,2161,2020,7,14,1,5,Пр.Л
37274,343,583,8.0,0,2161,2020,5,30,1,5,Пр.Л
92909,309,366,7.0,0,2129,2021,2,19,1,7,П
24675,560,912,9.0,0,2145,2020,2,17,1,3,Пр.П
8777,579,440,7.0,0,2113,2018,6,20,2,3,У
42303,585,21,9.0,0,2145,2020,6,30,1,4,Пр.П
33100,609,38,7.0,0,2113,2020,4,11,2,2,У
86111,640,201,16.0,0,2065,2021,1,28,1,22,Р
21069,11,553,9.0,0,2145,2020,1,16,1,3,Пр.П
94655,620,188,9.0,0,2129,2021,2,22,1,5,П
59373,483,605,18.0,0,2065,2020,9,26,2,25,Р
26334,3,935,9.0,0,2161,2020,3,24,1,6,Пр.Л
97502,335,810,7.0,0,2129,2021,2,21,1,10,П
20443,637,1001,9.0,0,2145,2020,1,14,1,4,Пр.П
39703,630,457,8.0,0,2145,2020,5,26,1,5,Пр.П
87703,336,597,8.0,0,2129,2021,1,30,1,15,П
2797,637,649,11.0,0,2161,2018,2,19,2,5,Пр.Л
23032,562,373,10.0,0,2161,2020,2,23,1,6,Пр.Л
27155,365,445,9.0,0,2161,2020,3,25,1,5,Пр.Л
93801,173,627,1525.0,1520,2081,2021,2,19,1,2,Уш
82802,620,461,10.0,0,2145,2019,12,17,1,4,Пр.П
7600,336,103,9.0,0,2113,2018,5,24,2,4,У
46058,18,169,11.0,0,2145,2020,6,12,1,5,Пр.П
7730,617,567,7.0,0,2113,2018,5,23,2,4,У
24635,532,55,8.0,0,2161,2020,2,17,1,4,Пр.Л
82388,645,975,8.0,0,2145,2019,12,24,1,3,Пр.П
100188,109,256,9.0,0,2161,2021,2,22,1,3,Пр.Л
39627,614,102,8.0,0,2161,2020,5,26,1,5,Пр.Л
54083,487,676,8.0,0,2113,2020,8,27,2,4,У
55684,26,919,9.0,0,2145,2020,8,28,1,3,Пр.П
65814,43,851,8.0,0,2113,2019,1,25,2,3,У
84859,231,825,9.0,0,2065,2021,1,27,1,16,Р
46595,361,72,9.0,0,2145,2020,7,31,1,5,Пр.П
89612,162,358,8.0,0,2129,2021,1,31,1,13,П
7339,598,774,8.0,0,2113,2018,5,20,2,2,У
71544,152,945,16.0,0,2065,2019,5,25,2,29,Р
65759,643,540,11.0,0,2129,2019,1,20,2,4,П
45527,649,755,9.0,0,2145,2020,6,21,1,5,Пр.П
16028,165,457,11.0,0,2145,2018,11,19,2,3,Пр.П
29619,592,602,9.0,0,2129,2020,3,27,2,14,П
12309,646,222,9.0,0,2113,2018,8,3,2,3,У
87913,387,767,7.0,0,2129,2021,1,30,1,15,П
82803,620,462,8.0,0,2161,2019,12,17,1,4,Пр.Л
41805,159,956,8.0,0,2145,2020,6,29,1,3,Пр.П
57197,440,629,8.0,0,2161,2020,9,30,1,4,Пр.Л
73052,364,36,9.0,0,2129,2019,6,3,2,16,П
33167,620,392,8.0,0,2145,2020,4,11,1,3,Пр.П
43821,119,406,7.0,0,2113,2020,6,27,2,4,У
62964,1,599,11.0,0,2145,2020,10,13,1,5,Пр.П
75255,231,486,9.0,0,2129,2019,8,27,2,18,П
77386,639,273,1515.0,1520,2097,2019,9,29,2,1,Суж
27221,399,952,8.0,0,2161,2020,3,25,1,5,Пр.Л
34390,506,990,8.0,0,2145,2020,4,13,1,4,Пр.П
44081,82,960,1529.0,1520,2081,2020,6,27,2,2,Уш
35045,636,818,10.0,0,2145,2020,4,12,1,6,Пр.П
35392,612,434,8.0,0,2161,2020,4,12,1,3,Пр.Л
41553,353,82,7.0,0,2113,2020,6,30,2,2,У
7646,450,332,7.0,0,2113,2018,5,24,2,3,У
97618,371,383,1526.0,1520,2081,2021,2,21,1,3,Уш
